nohup: ignoring input
2016/03/12 22:20:00 4210000
2016/03/12 22:20:22 4220000
2016/03/12 22:20:44 4230000
2016/03/12 22:21:07 4240000
2016/03/12 22:21:29 4250000
2016/03/12 22:21:54 4260000
2016/03/12 22:22:20 4270000
2016/03/12 22:22:44 4280000
2016/03/12 22:23:07 4290000
2016/03/12 22:23:30 4300000
2016/03/12 22:23:55 4310000
2016/03/12 22:24:20 4320000
2016/03/12 22:24:43 4330000
2016/03/12 22:25:08 4340000
2016/03/12 22:25:32 4350000
2016/03/12 22:25:58 4360000
2016/03/12 22:26:25 4370000
2016/03/12 22:26:47 4380000
2016/03/12 22:27:11 4390000
2016/03/12 22:27:34 4400000
2016/03/12 22:27:57 4410000
2016/03/12 22:28:20 4420000
2016/03/12 22:28:45 4430000
2016/03/12 22:29:10 4440000
2016/03/12 22:29:33 4450000
2016/03/12 22:29:57 4460000
2016/03/12 22:30:22 4470000
2016/03/12 22:30:45 4480000
2016/03/12 22:31:09 4490000
2016/03/12 22:31:34 4500000
2016/03/12 22:31:57 4510000
2016/03/12 22:32:21 4520000
2016/03/12 22:32:46 4530000
2016/03/12 22:33:12 4540000
2016/03/12 22:33:35 4550000
2016/03/12 22:33:58 4560000
2016/03/12 22:34:22 4570000
2016/03/12 22:34:46 4580000
2016/03/12 22:35:09 4590000
2016/03/12 22:35:33 4600000
2016/03/12 22:35:58 4610000
2016/03/12 22:36:24 4620000
2016/03/12 22:36:46 4630000
2016/03/12 22:37:09 4640000
2016/03/12 22:37:32 4650000
2016/03/12 22:37:55 4660000
2016/03/12 22:38:16 4670000
2016/03/12 22:38:39 4680000
2016/03/12 22:39:04 4690000
2016/03/12 22:39:29 4700000
2016/03/12 22:39:52 4710000
2016/03/12 22:40:16 4720000
2016/03/12 22:40:40 4730000
2016/03/12 22:41:04 4740000
2016/03/12 22:41:27 4750000
2016/03/12 22:41:49 4760000
2016/03/12 22:42:12 4770000
2016/03/12 22:42:38 4780000
2016/03/12 22:43:00 4790000
2016/03/12 22:43:25 4800000
2016/03/12 22:43:47 4810000
2016/03/12 22:44:09 4820000
2016/03/12 22:44:31 4830000
2016/03/12 22:44:56 4840000
2016/03/12 22:45:18 4850000
2016/03/12 22:45:41 4860000
2016/03/12 22:46:07 4870000
2016/03/12 22:46:30 4880000
2016/03/12 22:46:55 4890000
2016/03/12 22:47:18 4900000
2016/03/12 22:47:42 4910000
2016/03/12 22:48:05 4920000
2016/03/12 22:48:27 4930000
2016/03/12 22:48:54 4940000
2016/03/12 22:49:15 4950000
2016/03/12 22:49:40 4960000
2016/03/12 22:50:10 4970000
2016/03/12 22:50:33 4980000
2016/03/12 22:50:59 4990000
2016/03/12 22:51:20 5000000
2016/03/12 22:51:44 5010000
2016/03/12 22:52:11 5020000
2016/03/12 22:52:36 5030000
2016/03/12 22:52:59 5040000
2016/03/12 22:53:23 5050000
2016/03/12 22:53:45 5060000
2016/03/12 22:54:09 5070000
2016/03/12 22:54:29 5080000
2016/03/12 22:54:54 5090000
2016/03/12 22:55:17 5100000
2016/03/12 22:55:41 5110000
2016/03/12 22:56:07 5120000
2016/03/12 22:56:30 5130000
2016/03/12 22:56:51 5140000
2016/03/12 22:57:14 5150000
2016/03/12 22:57:37 5160000
2016/03/12 22:58:02 5170000
2016/03/12 22:58:26 5180000
2016/03/12 22:58:49 5190000
2016/03/12 22:59:14 5200000
2016/03/12 22:59:39 5210000
2016/03/12 23:00:04 5220000
2016/03/12 23:00:24 5230000
2016/03/12 23:00:46 5240000
2016/03/12 23:01:07 5250000
2016/03/12 23:01:29 5260000
2016/03/12 23:01:55 5270000
2016/03/12 23:02:19 5280000
2016/03/12 23:02:42 5290000
2016/03/12 23:03:05 5300000
2016/03/12 23:03:25 5310000
2016/03/12 23:03:47 5320000
2016/03/12 23:04:10 5330000
2016/03/12 23:04:30 5340000
2016/03/12 23:04:53 5350000
2016/03/12 23:05:16 5360000
2016/03/12 23:05:40 5370000
2016/03/12 23:06:03 5380000
2016/03/12 23:06:27 5390000
2016/03/12 23:06:54 5400000
2016/03/12 23:07:24 5410000
2016/03/12 23:07:45 5420000
2016/03/12 23:08:09 5430000
2016/03/12 23:08:34 5440000
2016/03/12 23:08:59 5450000
2016/03/12 23:09:24 5460000
2016/03/12 23:09:47 5470000
2016/03/12 23:10:10 5480000
2016/03/12 23:10:36 5490000
2016/03/12 23:10:59 5500000
2016/03/12 23:11:21 5510000
2016/03/12 23:11:44 5520000
2016/03/12 23:12:09 5530000
2016/03/12 23:12:31 5540000
2016/03/12 23:12:56 5550000
2016/03/12 23:13:18 5560000
