detectorid,starttime,volume,speed,occupancy,status,dqflags
1346,9/15/2011 0:34:00,2,63,4,2,0
1346,9/15/2011 0:34:20,0,,0,0,0
1346,9/15/2011 0:34:40,3,73,3,2,0
1346,9/15/2011 0:35:00,1,67,1,2,0
1346,9/15/2011 0:35:20,1,63,4,2,0
1346,9/15/2011 0:35:40,1,66,0,3,0
1346,9/15/2011 0:36:00,1,66,1,2,0
1346,9/15/2011 0:36:20,1,67,5,2,0
1346,9/15/2011 0:36:40,1,67,1,2,0
1346,9/15/2011 0:37:00,0,,0,0,0
1346,9/15/2011 0:37:20,1,67,0,3,0
1346,9/15/2011 0:37:40,2,67,1,2,0
1346,9/15/2011 0:38:00,0,,0,0,0
1346,9/15/2011 0:38:20,1,63,1,2,0
1346,9/15/2011 0:38:40,0,,0,0,0
1346,9/15/2011 0:39:00,2,57,5,2,0
1346,9/15/2011 0:39:20,1,94,0,3,0
1346,9/15/2011 0:39:40,3,59,8,2,0
1346,9/15/2011 0:40:00,1,67,1,2,0
1346,9/15/2011 0:40:20,1,62,4,2,0
1346,9/15/2011 0:40:40,0,,0,0,0
1346,9/15/2011 0:41:00,1,62,1,2,0
1346,9/15/2011 0:41:20,2,67,1,2,0
1346,9/15/2011 0:41:40,1,62,2,2,0
1346,9/15/2011 0:42:00,0,,0,0,0
1346,9/15/2011 0:42:20,0,,0,0,0
1346,9/15/2011 0:42:40,2,67,2,2,0
1346,9/15/2011 0:43:00,0,,0,0,0
1346,9/15/2011 0:43:20,0,,0,0,0
1346,9/15/2011 0:43:40,1,67,1,2,0
1346,9/15/2011 0:44:00,3,60,3,2,0
1346,9/15/2011 0:44:20,0,,0,0,0
1346,9/15/2011 0:44:40,2,59,3,2,0
1346,9/15/2011 0:45:00,0,,0,0,0
1346,9/15/2011 0:45:20,0,,0,0,0
1346,9/15/2011 0:45:40,2,53,4,2,0
1346,9/15/2011 0:46:00,0,,0,0,0
1346,9/15/2011 0:46:20,1,67,1,2,0
1346,9/15/2011 0:46:40,1,0,0,3,24
1346,9/15/2011 0:47:00,1,49,2,2,0
1346,9/15/2011 0:47:20,0,,0,0,0
1346,9/15/2011 0:47:40,0,,0,0,0
1346,9/15/2011 0:48:00,2,65,6,2,0
1346,9/15/2011 0:48:20,1,67,0,3,0
1346,9/15/2011 0:48:40,0,,0,0,0
1346,9/15/2011 0:49:00,1,67,1,2,0
1346,9/15/2011 0:49:20,1,63,1,2,0
1346,9/15/2011 0:49:40,0,,0,0,0
1346,9/15/2011 0:50:00,1,63,0,3,0
1346,9/15/2011 0:50:20,0,,0,0,0
